gene,depletion_pval,concentration_pval,p_combined,p_size,p_sens,p_final,sample_size,sens_score,is_signal_sim,q_bh
Gene_193,0.06914906370878059,0.764758031985671,0.1679007759423951,0.0327838995179941,0.5862068955517241,0.22770267672498268,29.0,0.41379310344827586,0,0.40643155842905176
Gene_194,0.26095264919429484,0.24360936436502273,0.2520480137560115,0.03076676552365587,0.19354838609677427,0.2705436812166735,31.0,0.8064516129032258,0,0.4619038459796864
Gene_195,0.006002813877040545,0.12183329199846882,0.01146477492820347,0.021977127515399486,0.5454545444545454,0.0771840563283328,44.0,0.45454545454545453,0,0.23430607656543911
Gene_196,0.7015086653340645,0.24613625210155066,0.4540449518165344,0.012422199506118559,0.2784810116582279,0.47261729175287737,79.0,0.7215189873417721,0,0.672422976071167
Gene_197,0.34583976254539767,0.3111540627417131,0.3279309353762596,0.03635955569871374,0.2692307682307693,0.3508262687219257,26.0,0.7307692307692307,0,0.5506241885770135
Gene_198,0.3667629462203962,0.06516188971820344,0.11562967517354694,0.027395522883651657,0.39999999900000005,0.15923269334287649,35.0,0.6,0,0.3183664821166526
Gene_199,0.07736965911568641,0.30925171624346937,0.12767730750481537,0.03076676552365587,0.22580645061290328,0.15262000390640507,31.0,0.7741935483870968,0,0.3142176551014222
Gene_200,0.11830814622887252,0.9384385414102052,0.7877145368071677,0.015999655922869782,0.5737704908032787,0.8024890448049347,61.0,0.4262295081967213,0,0.9477577149524724
Gene_201,0.034822423943257616,0.8309759137515313,0.0840043971851922,0.012578449454450746,0.5512820502820512,0.14513900889732423,78.0,0.44871794871794873,0,0.30787062493371803
Gene_202,0.7990959819366967,0.6823168684675598,0.7510367264891515,0.018017526141772544,0.2777777767777778,0.7595523111869575,54.0,0.7222222222222222,0,0.9150216716676768
Gene_203,0.9321557755452851,0.7397155924156574,0.8900489600135529,0.01156056413789841,0.3176470578235294,0.8943011671792799,85.0,0.6823529411764706,0,0.9966666666666659
Gene_204,0.005420769413417731,0.5328623676014692,0.010857540921762943,0.02061781866875989,0.574468084106383,0.0799946376454147,47.0,0.425531914893617,0,0.23430607656543911
Gene_205,0.00022538520075333728,0.3618804408683015,0.0004506223280111854,0.03076676552365587,0.3870967731935484,0.04834752195072012,31.0,0.6129032258064516,0,0.2038750925632776
Gene_206,0.3054492851130489,0.12284633086244628,0.17952626158375412,0.031743322856089495,0.26666666566666675,0.20704197795301027,30.000000000000004,0.7333333333333333,0,0.37546472685779064
Gene_207,0.7983722621964695,0.4509249329633114,0.6727544105531293,0.011299314123332849,0.367816090954023,0.6873750759751557,87.0,0.632183908045977,0,0.8654002755082896
Gene_208,0.00048332713585950407,0.15294240060040465,0.0009638442137582248,0.01156056413789841,0.5058823519411764,0.06215363061988144,85.0,0.49411764705882355,0,0.22898706017851056
Gene_209,0.45326677692021555,0.00264424665842882,0.005281641134776027,0.013605230870246343,0.24999999900000003,0.035779560368224606,72.0,0.75,0,0.1647742911694554
Gene_210,0.005339800172945157,0.8407028283502098,0.011014229343639381,0.013792883256083743,0.6197183088591549,0.08519266698510575,71.00000000000001,0.38028169014084506,0,0.2373873349059709
Gene_211,0.3132096634460799,0.9222898307556152,0.8286558981026455,0.03773128563674277,0.23999999900000002,0.8339045502314286,25.0,0.76,0,0.9516250189695785
Gene_212,0.2264683099403028,0.3049457602243853,0.2612807777487878,0.013792883256083743,0.43661971730985916,0.3004682640193298,71.00000000000001,0.5633802816901409,0,0.49372719439795976
Gene_213,0.11081525172670982,0.0311005334808677,0.048745859398570124,0.02020132614629566,0.31249999900000003,0.08534268819831192,48.0,0.6875,0,0.2373873349059709
Gene_214,0.3208650127116232,0.06299749402306978,0.10887534247740654,0.011834180588984777,0.25301204719277115,0.1364424526714697,83.0,0.7469879518072289,0,0.29854460148357453
Gene_215,0.9980538157904727,0.5111519669261212,0.9961086109104607,0.0116957723226081,0.4761904751904762,0.9950845372418101,84.0,0.5238095238095238,0,0.9966666666666659
Gene_216,0.004329718748909295,0.10504071706128798,0.008327280573804052,0.028983448207562823,0.4242424232424242,0.06017638012931137,33.0,0.5757575757575758,0,0.22898706017851056
Gene_217,0.691121463404425,0.5470756312083515,0.625721370158653,0.02984849630336983,0.31249999900000003,0.6402944545960085,32.0,0.6875,0,0.8315662189699004
Gene_218,0.9662777044694184,0.7769377516046343,0.9405802208556018,0.023528313347756735,0.3658536575365854,0.943255727554288,41.0,0.6341463414634146,0,0.9966666666666659
Gene_219,0.7847019307965645,0.44668149105912147,0.6572016158895264,0.016259801418797126,0.2999999990000001,0.669811016458443,60.00000000000001,0.7,0,0.8493980281175907
Gene_220,0.10087227332864866,0.2941935661955582,0.15407555100909692,0.018017526141772544,0.3703703693703704,0.1924003964545702,54.0,0.6296296296296297,0,0.35629703047142625
Gene_221,0.9341302017943979,0.6336893518055845,0.8833256720320305,0.011975903904541174,0.29268292582926836,0.8874909123395438,82.0,0.7073170731707317,0,0.9966666666666659
Gene_222,0.03443865388487178,0.6376600669127201,0.07156652654264267,0.03773128563674277,0.599999999,0.1400391743905629,25.0,0.4,0,0.3025537718314631
Gene_223,0.8723877173391967,0.1594119756019747,0.5827961201256922,0.011975903904541174,0.34146341363414634,0.6001308866111522,82.0,0.6585365853658537,0,0.8017015660836003
