gene,Day0,Day10,Day2,Day4
Arap1,1.0107697201386758,1.2037881737791982,1.0162068411049257,1.3879051882128701
Arap2,1.1326267684544273,1.047685047565966,1.0373082604475905,1.4131516397710566
Arfgef3,1.0403777768763507,1.3680673873757931,1.0936195446989327,1.424047845199853
Arg1,1.2704375729675499,,1.2376423992413268,1.4100974252223406
Arg2,,1.3573246585047622,1.3351663507933502,1.3408262003097406
Arhgap20,,1.3467466826945858,,1.3256080616571884
Arhgap22,0.7902887120667842,1.4126266010656272,1.0721947736251363,1.268800417044976
Arhgap24,1.3058302716470633,1.0158878884083586,1.4046110992419238,0.9721147471836927
Arhgap27,0.959556702428607,1.2395596028470153,1.0819182914271783,1.5205250766235874
Arhgap27os1,,1.4133315217519584,,
Arhgap28,0.5590711043474551,1.3909126053215024,1.2051054783598771,1.0512011362910347
Arhgap36,,1.3203718905439292,1.066323366826476,1.2416800752473458
Arhgap45,1.0556544169099586,1.319416232675703,1.0753988680231847,1.1606141332124011
Arhgap6,1.488631893488406,0.7413205588018642,1.4799480936293463,1.45845311765153
Arhgap8,1.1492466598959488,1.5747476885016731,1.232315739594424,1.5997241874712258
Arhgdib,1.0714523660516413,1.4858737564132258,1.3221613880218732,2.145869951995455
Arhgef15,,1.5198106706909953,,1.0961109054538811
Arhgef16,1.1612121555963155,1.3221758163472928,1.1005108014965241,1.5274854904346478
Arhgef28,1.104803191671348,0.6466097285405548,1.1458505527668885,1.349692085686737
Arhgef3,1.0944786008734042,1.095558604028358,1.1712811256744788,1.3859869525547839
Arhgef39,1.3439888692272643,1.1726482986289892,1.0204770371443772,1.218967683405781
Arhgef5,1.4550628558893248,1.3658430144699074,1.3875860745756532,1.8927957822366859
Arl14,,1.3681038146272202,,2.8865154617539743
Arl14epl,1.0918212596452581,,1.3144282053595764,
Arpin,1.3328102138406814,0.9013285875802561,1.1141794556099014,1.0190412812194234
Arpp21,,1.3049292303035736,,
Arsi,1.991526682288564,1.5733349695249437,1.2278169106296817,1.2674634889650824
Asb12,,1.5222852164230247,,1.535151376466376
Ascl1,,1.4243268281243784,1.067371480951652,1.068063221541042
Asgr1,,1.7219978427046914,,
Asic2,1.3157222970413085,1.2084887245444282,1.1685534086443061,1.270620471465038
Asic4,,1.336554028049635,,1.491594863917317
Aspa,,1.3853091256982477,1.1739900308481146,2.0042091237024695
Asphd1,1.1225608419542359,1.290623356515021,,1.4286580660847388
Asphd2,1.3652834425662297,1.278885058614232,1.0836100412539253,1.0451494201183924
Aspm,1.257696089346498,1.2307334403478996,1.0850540694198534,1.4073490399625022
Asxl3,1.175676852750281,1.3299690909119102,1.1522711894498707,1.1500342217125972
Asz1,1.0642785319372186,0.5277460715673115,1.200857990298908,1.6293922973643362
Atad3aos,,1.3085968142742244,,1.0831040791534723
Atcay,1.0462946868789336,1.3047898951000783,,1.3855285512788862
Atf7ip2,0.4550373969933784,1.096443107993331,1.3107092554642406,1.2999717186756752
Atoh7,,,,1.3356472377230173
Atoh8,,1.5486366165466992,1.0412763253981943,1.1866665411917627
Atp1a2,1.061553167477074,1.4336025434507476,,
Atp1a3,0.4422018366023901,1.2928490867994027,0.9872829081631384,1.3829132939207076
Atp2b2,1.1419126854117971,1.3180173874080852,1.0382687340517702,1.3274804012567785
Atp2b3,,1.334066319324347,,
Atp2c2,,1.3662123576445395,,
Atp6v0a4,1.2168867787914037,1.5157856614914755,,
Atp6v1g2,,1.3598806640636922,1.175140201403039,1.1190928306935761
Atp8a2,1.3266944108784768,0.9587321221880815,1.1133848875480876,1.259175390167271
Atp8b1,,1.460366596500703,,1.9636767781169269
Atp8b3,1.1765291685718677,1.3591093624214334,1.0560220008051906,1.2157303171923286
Aunip,0.0014500663952330647,1.4871818146948734,1.0093749718041498,1.3715831388366884
Aurkb,0.5483182747489602,1.4250765709995372,1.0497725293664208,1.3068243212223378
Aurkc,0.5031444674384804,,1.3129847855928982,
Axl,,1.509782490500932,1.140104244116919,1.2224119752795646
B3galt1,1.047141391924766,1.3355580485650984,1.027011863977497,1.202164921917599
B3galt2,1.1034083559336891,1.3289931415369394,,1.1554805328252742
B3galt5,,1.4058052422843426,,
B3gat2,1.0880002672895708,1.344543588303959,,1.3156542864307592
B3gnt3,,1.513235041821907,,
B3gnt7,0.9036306377596909,1.3373741818365916,1.3010574595034943,1.6022126409601471
B3gnt8,,1.5084780964008109,,
