gene,delta,Day0,Day2,Day4,Day10,max,labels
Dnah2os,0.08963367017234994,,,1.1191160237082267,1.5219166423509265,1.5219166423509265,0001
Plcxd3,0.08963367017234994,,,1.186710568106835,1.521506524681969,1.521506524681969,0001
Arhgef15,0.08963367017234994,,,1.0961109054538811,1.5198106706909953,1.5198106706909953,0001
Has3,0.08963367017234994,,,,1.5195839253277008,1.5195839253277008,0001
Slc25a18,0.08963367017234994,,,1.0483889372484216,1.5195293328968225,1.5195293328968225,0001
Omg,0.08963367017234994,,,,1.5192572983301247,1.5192572983301247,0001
Olig2,0.08963367017234994,,1.0334528341677935,1.204854319677825,1.5180605531012843,1.5180605531012843,0001
Scrt2,0.08963367017234994,,,1.256405576263111,1.5175762310608727,1.5175762310608727,0001
C9,0.08963367017234994,,,,1.5174919711943513,1.5174919711943513,0001
Ankdd1b,0.08963367017234994,,,,1.5162677149181332,1.5162677149181332,0001
Gjc3,0.08963367017234994,,,,1.5158624519925952,1.5158624519925952,0001
Atp6v0a4,0.08963367017234994,1.2168867787914037,,,1.5157856614914755,1.5157856614914755,0001
Hsd17b2,0.08963367017234994,,,,1.5136401727333244,1.5136401727333244,0001
Col5a2,0.08963367017234994,,1.0341461701130104,1.1110318954764948,1.5136235481826061,1.5136235481826061,0001
B3gnt3,0.08963367017234994,,,,1.513235041821907,1.513235041821907,0001
Afap1l2,0.08963367017234994,1.1373023526836166,0.9847121240747284,,1.5125271969516296,1.5125271969516296,0001
Layn,0.08963367017234994,,1.1351585765207275,,1.5124099441379668,1.5124099441379668,0001
Ky,0.08963367017234994,,,0.7637665413481032,1.5116100550770355,1.5116100550770355,0001
Galnt13,0.08963367017234994,,,1.1993580947187115,1.5112484735538383,1.5112484735538383,0001
Tmem171,0.08963367017234994,,,,1.5108466647524623,1.5108466647524623,0001
Plekhg6,0.08963367017234994,,,,1.5108378133390743,1.5108378133390743,0001
